CPU (%),Memory (%)
3.0,0.66
1.0,0.67
1.0,0.67
1.0,0.67
1.0,0.67
1.0,0.68
1.0,0.68
1.0,0.68
1.0,0.69
0.0,0.69
1.0,0.69
3.0,0.70
3.0,0.70
1.0,0.71
1.0,0.71
1.0,0.71
2.0,0.71
1.0,0.71
3.0,0.71
2.0,0.71
1.0,0.71
1.0,0.71
1.0,0.72
1.0,0.72
1.0,0.72
2.0,0.72
2.0,0.72
2.0,0.72
1.0,0.72
1.0,0.72
2.0,0.74
1.0,0.74
2.0,0.74
2.0,0.75
2.0,0.75
2.0,0.76
2.0,0.77
2.0,0.77
2.0,0.78
1.0,0.78
1.0,0.78
1.0,0.79
2.0,0.80
2.0,0.80
1.0,0.81
4.0,0.82
2.0,0.82
2.0,0.82
2.0,0.82
2.0,0.82
1.0,0.82
1.0,0.82
2.0,0.82
1.0,0.82
2.0,0.82
3.0,0.82
1.0,0.82
2.0,0.82
0.0,0.83
2.0,0.83
2.0,0.83
1.0,0.83
2.0,0.83
1.0,0.83
2.0,0.83
1.0,0.83
2.0,0.83
1.0,0.83
1.0,0.83
2.0,0.83
0.0,0.83
0.0,0.83
1.0,0.83
1.0,0.83
1.0,0.83
2.0,0.83
1.0,0.83
1.0,0.83
2.0,0.83
1.0,0.83
